image,trial,payload_bpp,useful_bits,useful_ber,full_ber,psnr_db,global_ssim
05_artifacts\data\sample_images\000000001503.jpg,0,0.25,65536,0.0039825439453125,0.08637046813964844,34.92893380453309,0.9970430033294893
05_artifacts\data\sample_images\000000001503.jpg,1,0.25,65536,0.004241943359375,0.08642959594726562,34.91905490993331,0.9970363078853207
05_artifacts\data\sample_images\000000001503.jpg,2,0.25,65536,0.0039520263671875,0.08653831481933594,34.90653002657892,0.9970268079054564
05_artifacts\data\sample_images\000000001503.jpg,3,0.25,65536,0.00396728515625,0.08636283874511719,34.91879105261191,0.9970355755060559
05_artifacts\data\sample_images\000000001503.jpg,4,0.25,65536,0.0037078857421875,0.08643913269042969,34.90203642921912,0.9970233898779515
05_artifacts\data\sample_images\dog_0031.jpg,0,0.25,65536,0.00439453125,0.2549934387207031,35.30653271564847,0.9973352154125531
05_artifacts\data\sample_images\dog_0031.jpg,1,0.25,65536,0.0040283203125,0.2549896240234375,35.32620979070863,0.9973478626474958
05_artifacts\data\sample_images\dog_0031.jpg,2,0.25,65536,0.00390625,0.2548789978027344,35.33393992771255,0.9973532296413986
05_artifacts\data\sample_images\dog_0031.jpg,3,0.25,65536,0.0039215087890625,0.2550983428955078,35.33327784907745,0.9973526324710605
05_artifacts\data\sample_images\dog_0031.jpg,4,0.25,65536,0.004180908203125,0.2546043395996094,35.34046577030968,0.9973571160632578
